"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"1","NEON.PLA.D19.BONA.00001","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single bole tree","Live",10,130,"noChange",8.8,2.2,2.1,"Mostly shaded",NA,"23","PIGL","Picea glauca (Moench) Voss","6N",7226043.31876468,476479.391233999,0.88,65.1569799047164,-147.50172636739,"255.42",1.23
"2","NEON.PLA.D19.BONA.00001","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single bole tree","Live",10,130,"noChange",8.8,2.2,2.1,"Mostly shaded",NA,"23","PIGL","Picea glauca (Moench) Voss",NA,NA,NA,NA,NA,NA,NA,NA
"3","NEON.PLA.D19.BONA.00002","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live",7.9,160,"noChange",6.6,5.5,1.5,"Mostly shaded",NA,"23","BENE4","Betula neoalaskana Sarg.",NA,NA,NA,NA,NA,NA,NA,NA
"4","NEON.PLA.D19.BONA.00003","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",1.3,NA,NA,"Full shade",1.7,"23","PIGL","Picea glauca (Moench) Voss",NA,NA,NA,NA,NA,NA,NA,NA
"5","NEON.PLA.D19.BONA.00004","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live,  other damage",6.7,130,"noChange",4.7,2.1,2,"Mostly shaded",NA,"23","PIGL","Picea glauca (Moench) Voss",NA,NA,NA,NA,NA,NA,NA,NA
"6","NEON.PLA.D19.BONA.00005","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",4.5,125,"noChange",4.4,0.7,0.3,"Full shade",NA,"23","POTR5","Populus tremuloides Michx.",NA,NA,NA,NA,NA,NA,NA,NA
"7","NEON.PLA.D19.BONA.00006","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",0.7,NA,NA,"Full shade",1,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"8","NEON.PLA.D19.BONA.00007","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live",7.6,125,"noChange",10.1,1.7,1.5,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"9","NEON.PLA.D19.BONA.00008","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",8.9,155,"noChange",8.8,1.4,1.2,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"10","NEON.PLA.D19.BONA.00009","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single shrub","Standing dead",1.1,130,"noChange",NA,NA,NA,NA,3.9,"23","SABE2","Salix bebbiana Sarg.",NA,NA,NA,NA,NA,NA,NA,NA
"11","NEON.PLA.D19.BONA.00009","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single shrub","Standing dead",2.4,130,"noChange",2.5,0.6,0.6,"Mostly shaded",5.9,"23","SABE2","Salix bebbiana Sarg.",NA,NA,NA,NA,NA,NA,NA,NA
"12","NEON.PLA.D19.BONA.00010","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single shrub","Standing dead",3.3,127,"noChange",NA,NA,NA,NA,4.6,"23","SABE2","Salix bebbiana Sarg.",NA,NA,NA,NA,NA,NA,NA,NA
"13","NEON.PLA.D19.BONA.00010","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single shrub","Standing dead",4.1,124,"noChange",2.6,1.9,0.4,"Full shade",5.7,"23","SABE2","Salix bebbiana Sarg.",NA,NA,NA,NA,NA,NA,NA,NA
"14","NEON.PLA.D19.BONA.00011","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",9.2,130,"noChange",8.1,1.2,1,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"15","NEON.PLA.D19.BONA.00012","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",1.5,NA,NA,"Mostly shaded",1.8,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"16","NEON.PLA.D19.BONA.00013","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",1.3,NA,NA,"Mostly shaded",1.7,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"17","NEON.PLA.D19.BONA.00014","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live, physically damaged",7,128,"noChange",3.4,3,2.8,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"18","NEON.PLA.D19.BONA.00016","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live",3,114,"noChange",1.3,3.2,1,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"19","NEON.PLA.D19.BONA.00017","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live",5.8,130,"noChange",NA,NA,NA,NA,NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"20","NEON.PLA.D19.BONA.00017","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",9.7,128,"noChange",8.1,3.5,2,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"21","NEON.PLA.D19.BONA.00018","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",7.9,135,"noChange",5.7,1.9,0.9,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"22","NEON.PLA.D19.BONA.00019","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",2.6,140,"noChange",3.1,0.7,0.7,"Full shade",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"23","NEON.PLA.D19.BONA.00020","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",8,130,"noChange",NA,NA,NA,NA,NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"24","NEON.PLA.D19.BONA.00020","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",9.8,130,"noChange",8.8,3.1,1.9,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"25","NEON.PLA.D19.BONA.00021","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live",3.1,134,"noChange",4.1,1.3,1.1,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"26","NEON.PLA.D19.BONA.00022","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live",3,135,"noChange",3.4,1.3,1.2,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"27","NEON.PLA.D19.BONA.00023","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",8.8,130,"noChange",4.9,1.5,1.2,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"28","NEON.PLA.D19.BONA.00024","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live",5.6,135,"noChange",4.6,2,1.5,"Full shade",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"29","NEON.PLA.D19.BONA.00025","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",6,130,"noChange",5.1,1.5,1.3,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"30","NEON.PLA.D19.BONA.00025","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",3.3,130,"noChange",NA,NA,NA,NA,NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"31","NEON.PLA.D19.BONA.00027","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",0.6,NA,NA,"Mostly shaded",1.1,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"32","NEON.PLA.D19.BONA.00028","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",0.6,NA,NA,"Mostly shaded",1,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"33","NEON.PLA.D19.BONA.00029","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",1.2,NA,NA,"Mostly shaded",1.6,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"34","NEON.PLA.D19.BONA.00030","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live, physically damaged",NA,NA,"noChange",1,NA,NA,"Mostly shaded",1.7,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"35","NEON.PLA.D19.BONA.00031","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",0.9,NA,NA,"Mostly shaded",1.4,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"36","NEON.PLA.D19.BONA.00032","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",0.6,NA,NA,"Mostly shaded",1.2,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"37","NEON.PLA.D19.BONA.00033","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"protocolChange",0.7,NA,NA,"Mostly shaded",1.1,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"38","NEON.PLA.D19.BONA.00034","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",0.8,NA,NA,"Mostly shaded",1.3,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"39","NEON.PLA.D19.BONA.00035","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",1,NA,NA,"Partially shaded",1.5,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"40","NEON.PLA.D19.BONA.00036","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Standing dead",9.4,127,"noChange",5.5,1.5,1.3,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"41","NEON.PLA.D19.BONA.00037","BONA_072.basePlot.vst","BONA_072",2021-09-07,"sapling","Live",NA,NA,"noChange",0.6,NA,NA,"Mostly shaded",1,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"42","NEON.PLA.D19.BONA.00038","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Live,  other damage",3.7,123,"noChange",3.2,2.4,1.2,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"43","NEON.PLA.D19.BONA.00039","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single shrub","Standing dead",5.6,137,"noChange",3.4,2,0.2,"Mostly shaded",8.6,"23","SABE2","Salix bebbiana Sarg.",NA,NA,NA,NA,NA,NA,NA,NA
"44","NEON.PLA.D19.BONA.00040","BONA_072.basePlot.vst","BONA_072",2021-09-07,"small tree","Dead, broken bole",5.1,130,"noChange",2.2,NA,NA,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA
"45","NEON.PLA.D19.BONA.00041","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single bole tree","Live",17.8,115,"noChange",14.1,4.4,3.5,"Partially shaded",NA,"23","BENE4","Betula neoalaskana Sarg.","6N",7226059.66046798,476460.677985508,0.85,65.1571251919361,-147.502128299856,"260.96",1.29
"46","NEON.PLA.D19.BONA.00042","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single bole tree","Live",19.7,130,"noChange",15.4,4.6,4.4,"Partially shaded",NA,"23","BENE4","Betula neoalaskana Sarg.","6N",7226059.193611,476466.758072868,0.85,65.1571214369726,-147.50199852954,"260.96",1.29
"47","NEON.PLA.D19.BONA.00043","BONA_072.basePlot.vst","BONA_072",2021-09-07,"single bole tree","Live",15.3,123,"noChange",15.9,4.7,3.9,"Partially shaded",NA,"23","BENE4","Betula neoalaskana Sarg.","6N",7226054.47928095,476465.514413725,0.85,65.1570790500596,-147.502024257793,"260.96",1.29
