"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"1","NEON.PLA.D19.DEJU.00001","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",12.2,138,"noChange",5.8,1.6,1.3,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084046.49239564,561062.795611078,0.7,63.8782892777966,-145.756926981205,"512.13",1.1
"2","NEON.PLA.D19.DEJU.00003","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",12.7,150,"noChange",6.4,1.9,1.7,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084045.10178837,561066.419333679,0.7,63.8782761677345,-145.756853784357,"512.13",1.1
"3","NEON.PLA.D19.DEJU.00004","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",13.4,135,"noChange",4.9,1.7,1.7,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084043.83296648,561065.640359664,0.7,63.8782649199589,-145.756870140771,"512.13",1.1
"4","NEON.PLA.D19.DEJU.00005","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live, physically damaged",14.2,137,"noChange",6.2,2,1.8,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084041.44537268,561063.568572605,0.7,63.8782438604808,-145.756913251452,"512.13",1.1
"5","NEON.PLA.D19.DEJU.00006","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",10,151,"noChange",6.8,1.7,1.1,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084037.18665572,561062.906321161,0.7,63.8782057667723,-145.756928417848,"512.33",1.1
"6","NEON.PLA.D19.DEJU.00007","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Dead, broken bole",12.3,130,"noChange",1.7,NA,NA,"Mostly shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084033.18987814,561062.745793991,0.7,63.8781699354974,-145.756933269536,"512.33",1.1
"7","NEON.PLA.D19.DEJU.00008","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",11,136,"noChange",6,1.3,1.3,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084032.34950331,561066.796168371,0.7,63.8781616875748,-145.756851171843,"512.33",1.1
"8","NEON.PLA.D19.DEJU.00009","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",11.9,128,"noChange",6,1.6,1.5,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084030.85594451,561066.271299414,0.7,63.878148379026,-145.756862445906,"512.33",1.1
"9","NEON.PLA.D19.DEJU.00010","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",13.1,130,"noChange",5.3,2.5,2.4,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084030.18147304,561065.244586235,0.7,63.8781425071043,-145.756883608413,"512.33",1.1
"10","NEON.PLA.D19.DEJU.00011","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",12.4,136,"noChange",5.7,2.3,2.1,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084033.03111665,561074.843594757,0.7,63.8781663961775,-145.756687124926,"512.28",1.1
