"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"1","NEON.PLA.D19.HEAL.00357","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live",NA,NA,"noChange",0.6,0.9,0.7,"Full sun",1.4,"32","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
"2","NEON.PLA.D19.HEAL.00357","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live",NA,NA,"noChange",NA,NA,NA,NA,0.7,"32","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
"3","NEON.PLA.D19.HEAL.00358","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live, physically damaged",NA,NA,"noChange",0.5,0.5,0.4,"Partially shaded",1.1,"32","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
"4","NEON.PLA.D19.HEAL.00359","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live",NA,NA,"noChange",NA,NA,NA,NA,0.8,"32","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
"5","NEON.PLA.D19.HEAL.00359","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Standing dead",NA,NA,"noChange",0.8,0.9,0.6,"Full sun",1.1,"32","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
"6","NEON.PLA.D19.HEAL.00359","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live",NA,NA,"noChange",NA,NA,NA,NA,0.8,"32","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
"7","NEON.PLA.D19.HEAL.00379","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live, physically damaged",NA,NA,"noChange",0.9,0.6,0.4,"Full sun",2.5,"41","SAPU15","Salix pulchra Cham.",NA,NA,NA,NA,NA,NA,NA,NA
"8","NEON.PLA.D19.HEAL.00380","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live, physically damaged",NA,NA,"noChange",0.7,0.7,0.4,"Partially shaded",1.8,"41","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
"9","NEON.PLA.D19.HEAL.00394","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live",NA,NA,"noChange",0.9,0.5,0.3,"Partially shaded",1.4,"40","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
"10","NEON.PLA.D19.HEAL.00394","HEAL_073.basePlot.vst","HEAL_073",2021-09-14,"small shrub","Live",NA,NA,"noChange",NA,NA,NA,NA,0.7,"40","BEGL/BENA","Betula glandulosa/nana",NA,NA,NA,NA,NA,NA,NA,NA
