"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty","easting10","northing10"
"986","NEON.PLA.D19.HEAL.02792","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",30.9,125,"noChange",13.6,4,4,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084889.88662756,387608.42425359,0.7,63.873112719238,-149.287829213184,"639.26",1.1,387600,7084880
"980","NEON.PLA.D19.HEAL.02786","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",30.4,123,"noChange",13.5,5.2,5,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084889.17232913,387613.856665586,0.7,63.8731080613448,-149.287718216781,"639.26",1.1,387610,7084880
"982","NEON.PLA.D19.HEAL.02788","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",28.6,120,"noChange",13.3,4.3,3,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084893.90590033,387606.118352767,0.7,63.87314801848,-149.287879038683,"639.26",1.1,387600,7084890
"981","NEON.PLA.D19.HEAL.02787","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",28.9,123,"noChange",12.9,5.5,5.4,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084894.57807652,387610.088282907,0.7,63.8731553227957,-149.287798795043,"639.26",1.1,387610,7084890
"1386","NEON.PLA.D19.HEAL.03712","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",23.3,121,"noChange",12.7,3.3,2.1,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084889.15701435,387608.201917685,0.7,63.8731061052656,-149.287833202467,"639.26",1.1,387600,7084880
"983","NEON.PLA.D19.HEAL.02789","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"multi-bole tree","Live",27.1,131,"noChange",12.6,4.5,3.2,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084892.83771051,387605.959563314,0.7,63.8731383889209,-149.287881488675,"639.26",1.1,387600,7084890
"978","NEON.PLA.D19.HEAL.02784","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",23.8,130,"branchGrowth",11.7,3.3,3,"Partially shaded",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7084875.53005673,387614.424366209,0.73,63.8729859133151,-149.287696721077,"639.87",1.17,387610,7084870
"987","NEON.PLA.D19.HEAL.02793","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",27.4,129,"noChange",11.4,3.4,2.3,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084887.54086753,387607.184336681,0.7,63.8730912859393,-149.287852717427,"639.26",1.1,387600,7084880
"989","NEON.PLA.D19.HEAL.02795","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",28.1,121,"noChange",11.4,4.2,4.1,"Partially shaded",NA,"40","PIGL","Picea glauca (Moench) Voss","6N",7084889.60185154,387602.470464882,0.7,63.8731082506164,-149.287950083706,"639.41",1.1,387600,7084880
"973","NEON.PLA.D19.HEAL.02779","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",24.5,130,"noChange",11.1,3.9,3.8,"Partially shaded",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7084881.91564976,387609.209568604,0.7,63.8730414958639,-149.287807428391,"639.41",1.1,387600,7084880
"988","NEON.PLA.D19.HEAL.02794","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live,  other damage",27.5,129,"noChange",11.1,3.1,2.5,"Partially shaded",NA,"40","PIGL","Picea glauca (Moench) Voss","6N",7084892.51632737,387604.179793485,0.7,63.8731349346072,-149.287917448268,"639.41",1.1,387600,7084890
"985","NEON.PLA.D19.HEAL.02790","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",20.1,126,"noChange",10.7,3.7,3.2,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084889.64343722,387605.681670451,0.7,63.8731096564086,-149.287884809887,"639.26",1.1,387600,7084880
"979","NEON.PLA.D19.HEAL.02785","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",23.7,115,"noChange",10.6,3.6,3.4,"Partially shaded",NA,"41","PIGL","Picea glauca (Moench) Voss","6N",7084888.4811834,387609.578698439,0.7,63.8731004878981,-149.287804710813,"639.26",1.1,387600,7084880
"975","NEON.PLA.D19.HEAL.02781","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",25,120,"noChange",10.5,4.8,4.5,"Partially shaded",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7084882.19729214,387611.995506903,0.7,63.8730449174079,-149.287750978179,"639.41",1.1,387610,7084880
"977","NEON.PLA.D19.HEAL.02783","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",22.2,118,"noChange",9.9,3.9,3.3,"Partially shaded",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7084875.42382816,387610.163027362,0.73,63.8729835901981,-149.287783303239,"639.87",1.17,387610,7084870
"976","NEON.PLA.D19.HEAL.02782","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",22.6,129,"noChange",9.5,4.5,3.9,"Partially shaded",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7084879.5722952,387612.932008395,0.73,63.8730216801964,-149.287730018499,"639.87",1.17,387610,7084870
"974","NEON.PLA.D19.HEAL.02780","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",19.5,120,"noChange",9,3.4,3.1,"Partially shaded",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7084880.95254145,387609.383213204,0.7,63.8730329154974,-149.287803194576,"639.41",1.1,387600,7084880
"468","NEON.PLA.D19.HEAL.02067","HEAL_023.basePlot.vst","HEAL_023",2021-09-13,"single bole tree","Live",17.8,134,"noChange",8.8,3,2.6,"Open grown",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7086477.57072969,387926.92235923,0.7,63.8874518640341,-149.282507617904,"669.49",1.16,387920,7086470
