"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"256","NEON.PLA.D19.DEJU.00330","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",20.9,140,"noChange",11.9,3.3,2.8,"Mostly shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084487.58641718,561922.243257804,0.77,63.8820954841397,-145.739258637161,"505.16",1.18
"170","NEON.PLA.D19.DEJU.00241","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",20.1,140,"noChange",11.5,2.7,2,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084485.58320116,561910.116008726,0.71,63.8820796611283,-145.739506282419,"505.29",1.17
"227","NEON.PLA.D19.DEJU.00299","DEJU_049.basePlot.vst","DEJU_049",2021-08-25,"single bole tree","Live",23.4,132,"noChange",11.4,3.5,3.4,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084339.4653989,561917.834793901,0.7,63.8807673242729,-145.739407935528,"507.25",1.1
"131","NEON.PLA.D19.DEJU.00210","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",20.1,138,"noChange",10.9,3.1,2.7,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084499.48666169,561906.957193059,0.75,63.8822049628435,-145.73956498665,"504.95",1.11
"132","NEON.PLA.D19.DEJU.00210","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",20.1,138,"noChange",10.9,3.1,2.7,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084498.82593547,561907.121277269,0.71,63.882199005726,-145.739561912531,"505.29",1.17
"126","NEON.PLA.D19.DEJU.00206","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",17,135,"noChange",10.8,2.1,1.6,"Full sun",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084492.04175324,561904.571404072,0.71,63.8821385900111,-145.739616541078,"505.29",1.17
"805","NEON.PLA.D19.DEJU.02815","DEJU_055.basePlot.vst","DEJU_055",2021-08-26,"single bole tree","Live",19.7,130,"noChange",10.7,2.6,2.4,"Partially shaded",NA,"23","PIGL","Picea glauca (Moench) Voss","6N",7083804.20381706,561130.020897761,0.7,63.8761036930044,-145.75565501091,"517.3",1.1
"101","NEON.PLA.D19.DEJU.00169","DEJU_049.basePlot.vst","DEJU_049",2021-08-25,"single bole tree","Live",25.2,131,"noChange",10.4,4.5,4.3,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084330.79105243,561908.68938442,0.7,63.8806911191088,-145.739597561415,"507.62",1.1
"732","NEON.PLA.D19.DEJU.02505","DEJU_064.basePlot.vst","DEJU_064",2021-08-26,"single bole tree","Live",19.7,120,"noChange",10.3,2.6,2.5,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084242.11352002,560918.891803423,0.7,63.8800695291484,-145.759778257954,"511.19",1.1
"733","NEON.PLA.D19.DEJU.02507","DEJU_064.basePlot.vst","DEJU_064",2021-08-26,"single bole tree","Live",21,125,"noChange",10.3,2.6,2.5,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084246.36944045,560929.431169325,0.7,63.8801058753059,-145.759562067999,"510.92",1.1
"269","NEON.PLA.D19.DEJU.00342","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",17.9,133,"noChange",10.2,3.2,2,"Partially shaded",NA,"23","PIGL","Picea glauca (Moench) Voss","6N",7084496.42896434,561923.834111728,0.84,63.882174537392,-145.739222700068,"505.19",1.29
"575","NEON.PLA.D19.DEJU.01531","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",18.8,137,"noChange",10.2,2,2,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084397.70667176,560719.738997025,0.7,63.8815001996375,-145.763770227708,"511.36",1.1
